=== [1/2] cleaned_10: 10 authors, K=4, sample 4 authors + M docs ===

Loading cleaned_10 corpus …
  400 docs × 1500w  (10 authors)
Building stylometric feature matrix …
  feature cache hit -> src\kmeans\cache\cleaned_10\2b210234ff591af9.npz
  X shape: (400, 107)

ARI sweep: K=4, M in [5, 10, 15, 20], 50 trials per M
  group pool = C(10,4) = 210
    M= 5: 5 docs/author, total=20 docs/trial
    M=10: 10 docs/author, total=40 docs/trial
    M=15: 15 docs/author, total=60 docs/trial
    M=20: 20 docs/author, total=80 docs/trial
  KMeans: init='k-means++', n_init=10
  M=10  trial  22/50  ARI=+0.528  n_docs= 40  authors=['abramdemski', 'johnswentworth', 'kaj_sotala', 'raemon']
  M=10  trial  23/50  ARI=+0.819  n_docs= 40  authors=['abramdemski', 'kaj_sotala', 'raemon', 'steve2152']
  M=10  trial  24/50  ARI=+0.646  n_docs= 40  authors=['abramdemski', 'jessica-liu-taylor', 'raemon', 'steve2152']
  M=10  trial  25/50  ARI=+0.675  n_docs= 40  authors=['abramdemski', 'neel-nanda-1', 'ruby', 'steve2152']
  M=10  trial  26/50  ARI=+0.802  n_docs= 40  authors=['johnswentworth', 'neel-nanda-1', 'raemon', 'ricraz']
  M=10  trial  27/50  ARI=+0.502  n_docs= 40  authors=['johnswentworth', 'ruby', 'steve2152', 'zvi']
  M=10  trial  28/50  ARI=+0.459  n_docs= 40  authors=['jessica-liu-taylor', 'kaj_sotala', 'raemon', 'zvi']
  M=10  trial  29/50  ARI=+0.211  n_docs= 40  authors=['jessica-liu-taylor', 'neel-nanda-1', 'ruby', 'zvi']
  M=10  trial  30/50  ARI=+0.519  n_docs= 40  authors=['jessica-liu-taylor', 'kaj_sotala', 'raemon', 'steve2152']
  M=10  trial  31/50  ARI=+0.439  n_docs= 40  authors=['jessica-liu-taylor', 'neel-nanda-1', 'raemon', 'steve2152']
  M=10  trial  32/50  ARI=+0.272  n_docs= 40  authors=['johnswentworth', 'neel-nanda-1', 'ruby', 'steve2152']
  M=10  trial  33/50  ARI=+0.518  n_docs= 40  authors=['abramdemski', 'ruby', 'steve2152', 'zvi']
  M=10  trial  34/50  ARI=+0.186  n_docs= 40  authors=['jessica-liu-taylor', 'johnswentworth', 'kaj_sotala', 'ruby']
  M=10  trial  35/50  ARI=+0.488  n_docs= 40  authors=['kaj_sotala', 'neel-nanda-1', 'ricraz', 'steve2152']
  M=10  trial  36/50  ARI=+0.539  n_docs= 40  authors=['abramdemski', 'jessica-liu-taylor', 'ruby', 'steve2152']
  M=10  trial  37/50  ARI=+0.326  n_docs= 40  authors=['jessica-liu-taylor', 'johnswentworth', 'neel-nanda-1', 'raemon']
  M=10  trial  38/50  ARI=+0.301  n_docs= 40  authors=['abramdemski', 'johnswentworth', 'ricraz', 'ruby']
  M=10  trial  39/50  ARI=+0.589  n_docs= 40  authors=['abramdemski', 'johnswentworth', 'neel-nanda-1', 'zvi']
  M=10  trial  40/50  ARI=+0.388  n_docs= 40  authors=['abramdemski', 'kaj_sotala', 'ruby', 'zvi']
  M=10  trial  41/50  ARI=+0.205  n_docs= 40  authors=['abramdemski', 'jessica-liu-taylor', 'raemon', 'ruby']
  M=10  trial  42/50  ARI=+0.639  n_docs= 40  authors=['johnswentworth', 'kaj_sotala', 'neel-nanda-1', 'steve2152']
  M=10  trial  43/50  ARI=+0.443  n_docs= 40  authors=['abramdemski', 'jessica-liu-taylor', 'kaj_sotala', 'steve2152']
  M=10  trial  44/50  ARI=+0.489  n_docs= 40  authors=['neel-nanda-1', 'ricraz', 'ruby', 'zvi']
  M=10  trial  45/50  ARI=+0.716  n_docs= 40  authors=['abramdemski', 'raemon', 'ruby', 'steve2152']
  M=10  trial  46/50  ARI=+0.517  n_docs= 40  authors=['abramdemski', 'jessica-liu-taylor', 'johnswentworth', 'kaj_sotala']
  M=10  trial  47/50  ARI=+0.227  n_docs= 40  authors=['abramdemski', 'kaj_sotala', 'neel-nanda-1', 'ruby']
  M=10  trial  48/50  ARI=+0.166  n_docs= 40  authors=['jessica-liu-taylor', 'johnswentworth', 'kaj_sotala', 'ricraz']
  M=10  trial  49/50  ARI=+0.722  n_docs= 40  authors=['johnswentworth', 'kaj_sotala', 'ricraz', 'zvi']
  M=10  trial  50/50  ARI=+0.325  n_docs= 40  authors=['abramdemski', 'jessica-liu-taylor', 'neel-nanda-1', 'ruby']
  M=15  trial   1/50  ARI=+0.795  n_docs= 60  authors=['raemon', 'ricraz', 'steve2152', 'zvi']
  M=15  trial   2/50  ARI=+0.688  n_docs= 60  authors=['neel-nanda-1', 'ricraz', 'steve2152', 'zvi']
  M=15  trial   3/50  ARI=+0.123  n_docs= 60  authors=['jessica-liu-taylor', 'kaj_sotala', 'neel-nanda-1', 'ruby']
  M=15  trial   4/50  ARI=+0.825  n_docs= 60  authors=['abramdemski', 'johnswentworth', 'kaj_sotala', 'neel-nanda-1']
  M=15  trial   5/50  ARI=+0.297  n_docs= 60  authors=['johnswentworth', 'neel-nanda-1', 'raemon', 'ruby']
  M=15  trial   6/50  ARI=+0.545  n_docs= 60  authors=['johnswentworth', 'neel-nanda-1', 'ruby', 'steve2152']
