============================================================
Experiment 1 — cleaned_10  (10 authors × 40 articles, ≥1500w)
============================================================
  400 docs, 10 authors
    abramdemski: 40 docs
    jessica-liu-taylor: 40 docs
    johnswentworth: 40 docs
    kaj_sotala: 40 docs
    neel-nanda-1: 40 docs
    raemon: 40 docs
    ricraz: 40 docs
    ruby: 40 docs
    steve2152: 40 docs
    zvi: 40 docs

Sweeping N in [100, 200, 500, 1000, 1500]  (K=5, M=15, 50 trials/N, n_init=10)
  Sampling K=5 authors from 10 per trial

  feature cache hit -> src\kmeans\cache\cleaned_10\29e27bc51a523bd0.npz
  N=  500  trial 23/50  ARI=+0.251  authors=['kaj_sotala', 'johnswentworth', 'neel-nanda-1', 'raemon', 'abramdemski']
  N=  500  trial 24/50  ARI=+0.186  authors=['ricraz', 'neel-nanda-1', 'johnswentworth', 'jessica-liu-taylor', 'ruby']
  N=  500  trial 25/50  ARI=+0.160  authors=['ruby', 'raemon', 'abramdemski', 'jessica-liu-taylor', 'kaj_sotala']
  N=  500  trial 26/50  ARI=+0.413  authors=['steve2152', 'ruby', 'raemon', 'abramdemski', 'zvi']
  N=  500  trial 27/50  ARI=+0.314  authors=['kaj_sotala', 'raemon', 'johnswentworth', 'zvi', 'jessica-liu-taylor']
  N=  500  trial 28/50  ARI=+0.165  authors=['neel-nanda-1', 'jessica-liu-taylor', 'johnswentworth', 'kaj_sotala', 'ricraz']
  N=  500  trial 29/50  ARI=+0.181  authors=['ricraz', 'jessica-liu-taylor', 'johnswentworth', 'raemon', 'neel-nanda-1']
  N=  500  trial 30/50  ARI=+0.227  authors=['ricraz', 'neel-nanda-1', 'steve2152', 'abramdemski', 'jessica-liu-taylor']
  N=  500  trial 31/50  ARI=+0.252  authors=['ricraz', 'ruby', 'kaj_sotala', 'raemon', 'neel-nanda-1']
  N=  500  trial 32/50  ARI=+0.427  authors=['neel-nanda-1', 'zvi', 'kaj_sotala', 'raemon', 'steve2152']
  N=  500  trial 33/50  ARI=+0.438  authors=['ruby', 'zvi', 'johnswentworth', 'ricraz', 'steve2152']
